  3.6986805e-002	  7.3161900e-002	  7.7007696e-002	  8.0511793e-002	  8.3488733e-002	  8.4567741e-002	  8.4993251e-002	  8.2726330e-002	  7.6878600e-002	  6.5235674e-002	  5.8224503e-002	  5.6030329e-002	  5.4370698e-002	  5.2717689e-002	  5.0371457e-002	
  3.0651316e-002	  6.0537387e-002	  6.3712075e-002	  6.7577474e-002	  7.1365431e-002	  7.3436067e-002	  7.4691638e-002	  7.3259354e-002	  6.6620752e-002	  5.9597675e-002	  5.5299744e-002	  5.3817820e-002	  5.2636307e-002	  5.1413383e-002	  4.9591359e-002	
  2.5574250e-002	  5.1632591e-002	  5.3930651e-002	  5.7472132e-002	  6.1894160e-002	  6.4947672e-002	  6.6992387e-002	  6.4715743e-002	  6.0002811e-002	  5.5350158e-002	  5.3957839e-002	  5.2912079e-002	  5.1918048e-002	  5.0834071e-002	  4.9222510e-002	
  1.3969675e-002	  2.7368087e-002	  2.8894354e-002	  3.2020152e-002	  3.6845900e-002	  4.0951293e-002	  4.2749710e-002	  4.0667534e-002	  3.7908085e-002	  3.5405133e-002	  3.4395460e-002	  3.3548851e-002	  3.2712586e-002	  3.1769801e-002	  3.0253781e-002	
  3.8155916e-003	  7.4228318e-003	  8.2737412e-003	  1.0896647e-002	  1.5910938e-002	  2.0727172e-002	  2.2076789e-002	  2.1549145e-002	  1.8997505e-002	  1.7913038e-002	  1.7106755e-002	  1.6338380e-002	  1.5538802e-002	  1.4591645e-002	  1.2949639e-002	
 -6.1799642e-003	 -1.3768264e-002	 -1.3702242e-002	 -1.1750512e-002	 -6.9353539e-003	 -1.8310351e-003	 -2.2297811e-005	 -4.9150747e-004	 -2.2513594e-003	 -3.1047391e-003	 -3.8323561e-003	 -4.5738975e-003	 -5.3992714e-003	 -6.4723538e-003	 -8.6815543e-003	
 -2.2880185e-002	 -4.8018388e-002	 -4.8968196e-002	 -4.8004724e-002	 -4.3976404e-002	 -3.9001785e-002	 -3.6987882e-002	 -3.7813552e-002	 -3.8824428e-002	 -3.9555795e-002	 -4.0328033e-002	 -4.1168775e-002	 -4.2159267e-002	 -4.3543320e-002	 -4.6725340e-002	
 -2.4093069e-002	 -5.4533601e-002	 -5.6841917e-002	 -5.7073474e-002	 -5.4445013e-002	 -5.0499581e-002	 -4.8883226e-002	 -4.9784966e-002	 -5.0451856e-002	 -5.1122218e-002	 -5.1903911e-002	 -5.2801378e-002	 -5.3909481e-002	 -5.5518761e-002	 -5.9380524e-002	
 -1.7117957e-002	 -4.2242713e-002	 -4.6103623e-002	 -4.7895353e-002	 -4.7198381e-002	 -4.5358073e-002	 -4.4854630e-002	 -4.5574617e-002	 -4.6168294e-002	 -4.6847772e-002	 -4.7641654e-002	 -4.8561778e-002	 -4.9721908e-002	 -5.1489145e-002	 -5.5936288e-002	
 -3.3989374e-002	 -7.4167781e-002	 -7.9503246e-002	 -8.2749873e-002	 -8.4110394e-002	 -8.5224733e-002	 -8.6743057e-002	 -8.7672785e-002	 -8.8383503e-002	 -8.9177504e-002	 -9.0085387e-002	 -9.1128372e-002	 -9.2448875e-002	 -9.4559334e-002	 -1.0007772e-001	
 -3.4123935e-002	 -7.5648099e-002	 -8.1883796e-002	 -8.7371901e-002	 -9.1814019e-002	 -9.5682949e-002	 -9.8891705e-002	 -1.0074967e-001	 -1.0199465e-001	 -1.0319217e-001	 -1.0443182e-001	 -1.0578218e-001	 -1.0746166e-001	 -1.1019557e-001	 -1.1725709e-001	
